sfr	mPa	mRa	mRc	aGr	aTe	aFd	dZft	fTr	fD45	fPe45	dPdre	sDef	dPfd	dEcd	rCo	aCo	tCo	Tva	ePg	ePd	mSf	pLc	gSu	rSu	aBr	tArr	eFu	rCdc	dLo	dHo	zP	FrS	Mfalla
43	23	16	22	5	36	2	41	43	0	0	0	43	0	0	35	43	1	41	0	0	0	0	0	0	0	0	0	0	0	0	0	43	bcf
30	26	17	24	3	27	1	26	30	0	0	1	29	1	0	3	2	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	30	bff
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	4	0	18	8	13	6	11	16	5	0	22	adw
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	8	0	1	0	0	0	14	3	11	0	14	ur
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	14	0	1	0	0	0	13	12	2	0	14	pc
13	0	12	5	13	0	0	4	13	0	0	0	12	1	0	4	10	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	13	bfb
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	8	1	1	1	3	0	13	11	1	13	13	lu
12	0	1	0	1	8	9	8	12	0	0	10	2	0	0	1	8	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	12	tdf
0	0	0	0	0	0	0	0	0	0	0	12	0	7	1	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	12	sbut
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	11	3	2	11	4	1	0	4	1	10	0	11	abw
10	0	0	0	0	0	10	0	5	5	0	10	0	2	0	0	3	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0	10	fddf
10	0	8	0	9	0	3	4	0	10	0	1	9	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	10	tbf
10	10	8	7	0	10	1	4	0	10	0	0	10	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	10	tff
10	10	7	9	0	10	0	7	0	2	8	1	9	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	10	tffss
0	0	0	0	0	0	0	0	0	0	0	10	0	0	6	0	0	0	0	10	0	2	1	7	0	0	0	0	1	0	0	0	10	tpf
0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	10	5	0	0	3	1	0	7	6	3	0	10	dkws
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	9	3	3	2	0	2	10	0	0	10	sf
7	4	4	4	0	7	0	5	0	7	0	1	6	0	0	5	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	7	tcf
5	2	2	2	5	0	0	4	5	0	0	0	5	0	0	3	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	sccub
3	0	2	0	0	0	3	1	3	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	fdff
3	0	0	0	0	0	3	0	2	1	0	1	0	3	0	1	1	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	3	twdf
0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	3	bpf
0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	sbub
2	0	1	0	2	0	0	0	0	1	1	0	2	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	tscc
