Categoría,iAp,iAr,S,fn,E,fp,p+,p-,ROC
abw,0.48333333333333334,0.9666666666666667,0.0,0.0,0.9666666666666667,0.03333333331111111,0.0,1.0,0.48333333333333334
adw,0.46111111111111114,0.9222222222222223,0.3333333333333333,0.6666666600000002,0.9642857142857143,0.03571428568877551,0.4,0.9529411764705883,0.6488095238095238
bcf,0.48333333333333334,0.9666666666666667,0.5,0.4999999950000001,1.0,0.0,1.0,0.9655172413793104,0.75
bfb,0.46111111111111114,0.9222222222222223,0.3333333333333333,0.6666666600000002,0.9642857142857143,0.03571428568877551,0.4,0.9529411764705883,0.6488095238095238
bff,0.4277777777777778,0.8555555555555556,1.0,0.0,0.8452380952380952,0.15476190465136053,0.31578947368421056,1.0,0.9226190476190477
bfp,0.4666666666666667,0.9333333333333333,0.0,0.0,0.9333333333333333,0.06666666662222222,0.0,1.0,0.4666666666666667
bpf,0.4555555555555556,0.9111111111111112,1.0,0.0,0.9047619047619049,0.095238095170068,0.4285714285714286,1.0,0.9523809523809524
fddf,0.5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
fdff,0.48333333333333334,0.9666666666666667,0.0,0.0,0.9666666666666667,0.03333333331111111,0.0,1.0,0.48333333333333334
lu,0.43333333333333335,0.8666666666666667,0.0,0.9999999900000002,0.9285714285714286,0.07142857137755101,0.0,0.9285714285714286,0.4642857142857143
pc,0.4666666666666667,0.9333333333333333,0.0,0.9999999900000002,1.0,0.0,0.0,0.9333333333333333,0.5
sbut,0.4666666666666667,0.9333333333333333,0.0,0.9999999900000002,1.0,0.0,0.0,0.9333333333333333,0.5
sf,0.4722222222222222,0.9444444444444444,0.5,0.4999999950000001,0.9761904761904762,0.023809523792517,0.6000000000000001,0.9647058823529412,0.7380952380952381
tbf,0.48333333333333334,0.9666666666666667,0.5,0.4999999950000001,1.0,0.0,1.0,0.9655172413793104,0.75
tdf,0.4666666666666667,0.9333333333333333,0.0,0.9999999900000002,1.0,0.0,0.0,0.9333333333333333,0.5
tff,0.4666666666666667,0.9333333333333333,0.0,0.9999999900000002,1.0,0.0,0.0,0.9333333333333333,0.5
tpf,0.48333333333333334,0.9666666666666667,0.5,0.4999999950000001,1.0,0.0,1.0,0.9655172413793104,0.75
tscc,0.48333333333333334,0.9666666666666667,0.0,0.0,0.9666666666666667,0.03333333331111111,0.0,1.0,0.48333333333333334
twdf,0.5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
