Categoría,iAp,iAr,S,fn,E,fp,p+,p-,ROC
abw,0.48333333333333334,0.9666666666666667,0.0,0.0,0.9666666666666667,0.03333333331111111,0.0,1.0,0.48333333333333334
adw,0.4666666666666667,0.9333333333333333,0.0,0.9999999900000002,1.0,0.0,0.0,0.9333333333333333,0.5
bcf,0.4722222222222222,0.9444444444444444,1.0,0.0,0.9404761904761905,0.05952380948129251,0.5454545454545455,1.0,0.9702380952380952
bfb,0.4777777777777778,0.9555555555555556,0.3333333333333333,0.6666666600000002,1.0,0.0,1.0,0.9545454545454546,0.6666666666666666
bff,0.43888888888888894,0.8777777777777779,0.5,0.4999999950000001,0.9047619047619048,0.09523809517006801,0.27272727272727276,0.9620253164556962,0.7023809523809523
bpf,0.48333333333333334,0.9666666666666667,1.0,0.0,0.9642857142857143,0.03571428568877551,0.6666666666666666,1.0,0.9821428571428572
dkws,0.4444444444444445,0.888888888888889,0.0,0.0,0.888888888888889,0.11111111103703702,0.0,1.0,0.4444444444444445
fddf,0.5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
lu,0.45,0.9,0.0,0.9999999900000002,0.9642857142857143,0.03571428568877551,0.0,0.9310344827586207,0.48214285714285715
pc,0.4666666666666667,0.9333333333333333,0.0,0.9999999900000002,1.0,0.0,0.0,0.9333333333333333,0.5
sbub,0.4722222222222222,0.9444444444444444,0.0,0.0,0.9444444444444444,0.05555555551851851,0.0,1.0,0.4722222222222222
sbut,0.4666666666666667,0.9333333333333333,0.0,0.9999999900000002,1.0,0.0,0.0,0.9333333333333333,0.5
sf,0.48333333333333334,0.9666666666666667,0.5,0.4999999950000001,1.0,0.0,1.0,0.9655172413793104,0.75
tbf,0.48333333333333334,0.9666666666666667,0.5,0.4999999950000001,1.0,0.0,1.0,0.9655172413793104,0.75
tdf,0.48333333333333334,0.9666666666666667,0.5,0.4999999950000001,1.0,0.0,1.0,0.9655172413793104,0.75
tff,0.4666666666666667,0.9333333333333333,0.0,0.9999999900000002,1.0,0.0,0.0,0.9333333333333333,0.5
tpf,0.43333333333333335,0.8666666666666667,0.5,0.4999999950000001,0.8928571428571429,0.10714285706632652,0.25,0.9615384615384616,0.6964285714285714
tscc,0.48333333333333334,0.9666666666666667,0.0,0.0,0.9666666666666667,0.03333333331111111,0.0,1.0,0.48333333333333334
twdf,0.5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
