Categoría,iAp,iAr,S,fn,E,fp,p+,p-,ROC
adw,0.45,0.9,0.0,0.9999999900000002,0.9642857142857143,0.03571428568877551,0.0,0.9310344827586207,0.48214285714285715
bcf,0.4888888888888889,0.9777777777777777,1.0,0.0,0.9761904761904762,0.023809523792517,0.75,1.0,0.9880952380952381
bfb,0.4666666666666667,0.9333333333333333,0.0,0.9999999900000002,1.0,0.0,0.0,0.9333333333333333,0.5
bff,0.46944444444444444,0.9388888888888889,0.75,0.24999999750000004,0.9523809523809524,0.047619047585034,0.5294117647058824,0.9815950920245399,0.8511904761904763
bpf,0.5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
fddf,0.5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
lu,0.45,0.9,0.0,0.9999999900000002,0.9642857142857143,0.03571428568877551,0.0,0.9310344827586207,0.48214285714285715
pc,0.4222222222222223,0.8444444444444446,0.0,0.9999999900000002,0.9047619047619048,0.09523809517006801,0.0,0.926829268292683,0.4523809523809524
sbub,0.48333333333333334,0.9666666666666667,0.0,0.0,0.9666666666666667,0.03333333331111111,0.0,1.0,0.48333333333333334
sbut,0.45555555555555555,0.9111111111111111,0.5,0.4999999950000001,0.9404761904761905,0.05952380948129251,0.375,0.9634146341463414,0.7202380952380952
sf,0.5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
tbf,0.5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
tdf,0.49166666666666664,0.9833333333333333,1.0,0.0,0.9821428571428571,0.017857142844387754,0.8,1.0,0.9910714285714286
tff,0.5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
tpf,0.4722222222222222,0.9444444444444444,0.5,0.4999999950000001,0.9761904761904762,0.023809523792517,0.6000000000000001,0.9647058823529412,0.7380952380952381
twdf,0.5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
