Categoría,iAp,iAr,S,fn,E,fp,p+,p-,ROC
abw,0.48333333333333334,0.9666666666666667,0.0,0.0,0.9666666666666667,0.03333333331111111,0.0,1.0,0.48333333333333334
adw,0.46111111111111114,0.9222222222222223,0.3333333333333333,0.6666666600000002,0.9642857142857143,0.03571428568877551,0.4,0.9529411764705883,0.6488095238095238
bcf,0.4722222222222222,0.9444444444444444,1.0,0.0,0.9404761904761905,0.05952380948129251,0.5454545454545455,1.0,0.9702380952380952
bfb,0.4666666666666667,0.9333333333333333,0.0,0.9999999900000002,1.0,0.0,0.0,0.9333333333333333,0.5
bff,0.4305555555555556,0.8611111111111112,0.25,0.7499999925000002,0.9047619047619048,0.09523809517006801,0.15789473684210528,0.9440993788819876,0.5773809523809523
bpf,0.5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
fddf,0.5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
fdff,0.4888888888888889,0.9777777777777777,0.0,0.0,0.9777777777777777,0.022222222207407404,0.0,1.0,0.4888888888888889
lu,0.43333333333333335,0.8666666666666667,0.0,0.9999999900000002,0.9285714285714286,0.07142857137755101,0.0,0.9285714285714286,0.4642857142857143
pc,0.4666666666666667,0.9333333333333333,0.0,0.9999999900000002,1.0,0.0,0.0,0.9333333333333333,0.5
sbut,0.48333333333333334,0.9666666666666667,0.5,0.4999999950000001,1.0,0.0,1.0,0.9655172413793104,0.75
sf,0.4888888888888889,0.9777777777777777,1.0,0.0,0.9761904761904762,0.023809523792517,0.75,1.0,0.9880952380952381
tbf,0.5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
tdf,0.49166666666666664,0.9833333333333333,1.0,0.0,0.9821428571428571,0.017857142844387754,0.8,1.0,0.9910714285714286
tff,0.4666666666666667,0.9333333333333333,0.0,0.9999999900000002,1.0,0.0,0.0,0.9333333333333333,0.5
tpf,0.48333333333333334,0.9666666666666667,0.5,0.4999999950000001,1.0,0.0,1.0,0.9655172413793104,0.75
twdf,0.5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
ur,0.45555555555555555,0.9111111111111111,0.0,0.0,0.9111111111111111,0.08888888882962961,0.0,1.0,0.45555555555555555
