Categoría,iAp,Kappa,Kappa_w,iA,S,fn,E,fp,p+,p-,ROC
lu,0.9333333333333333,0.0,0.0,0.9333333333333333,0.0,0.0,0.9333333333333333,0.06666666666666667,0.0,1.0,0.4666666666666667
bfb,0.9,0.0,0.0,0.9,0.0,1.0,1.0,0.0,0.0,0.9,0.5
adw,0.9666666666666667,0.782608695652174,0.782608695652174,0.9666666666666667,1.0,0.0,0.9642857142857143,0.03571428571428571,0.6666666666666666,1.0,0.9821428571428572
pc,0.9333333333333333,0.47368421052631604,0.47368421052631604,0.9333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.0,1.0,0.9310344827586207,0.6666666666666666
tpf,0.9333333333333333,0.761904761904762,0.761904761904762,0.9333333333333333,1.0,0.0,0.9230769230769231,0.07692307692307693,0.6666666666666666,1.0,0.9615384615384616
tbf,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
fddf,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5
twdf,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
tdf,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5
sbut,0.9,-0.04651162790697707,-0.04651162790697707,0.9,0.0,1.0,0.9310344827586207,0.06896551724137931,0.0,0.9642857142857143,0.46551724137931033
sf,0.8666666666666667,-0.07142857142857098,-0.07142857142857098,0.8666666666666667,0.0,1.0,0.9285714285714286,0.07142857142857142,0.0,0.9285714285714286,0.4642857142857143
bff,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5
bcf,0.9666666666666667,0.6511627906976744,0.6511627906976744,0.9666666666666667,0.5,0.5,1.0,0.0,1.0,0.9655172413793104,0.75
bpf,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5
tff,0.9666666666666667,0.782608695652174,0.782608695652174,0.9666666666666667,1.0,0.0,0.9642857142857143,0.03571428571428571,0.6666666666666666,1.0,0.9821428571428572
ur,0.9666666666666667,0.6511627906976744,0.6511627906976744,0.9666666666666667,0.5,0.5,1.0,0.0,1.0,0.9655172413793104,0.75
abw,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5
tscc,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
tffss,0.9666666666666667,0.0,0.0,0.9666666666666667,0.0,1.0,1.0,0.0,0.0,0.9666666666666667,0.5
dkws,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5
tcf,0.9666666666666667,0.6511627906976744,0.6511627906976744,0.9666666666666667,0.5,0.5,1.0,0.0,1.0,0.9655172413793104,0.75
sccub,0.9666666666666667,0.0,0.0,0.9666666666666667,0.0,0.0,0.9666666666666667,0.03333333333333333,0.0,1.0,0.48333333333333334
fdff,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
sbub,0.9666666666666667,0.0,0.0,0.9666666666666667,0.0,0.0,0.9666666666666667,0.03333333333333333,0.0,1.0,0.48333333333333334
